Index,Name,Emergency,HighZeroBias,HighZeroBias_NoMuShowers,HalfZeroBias,OnlyPhysics,HighRandom,HighRandom_NoMuShowers,Unprescaled
45,L1_FirstBunchInTrain_50ns,0,0,0,0,0,0,0,1
46,L1_LastBunchInTrain_50ns,0,0,0,0,0,0,0,1
47,L1_SingleJet8_BptxAND,0,0,0,0,0,0,0,1
48,L1_SingleJet16,0,0,0,0,0,0,0,1
49,L1_SingleJet20,0,0,0,0,0,0,0,1
50,L1_SingleJet24,0,1,1,1,1,1,1,1
51,L1_SingleJet28,0,0,0,0,0,0,0,1
52,L1_SingleJet32,0,0,0,0,0,0,0,1
53,L1_SingleJet35,0,1,1,1,1,1,1,1
54,L1_SingleJet40,0,0,0,0,0,0,0,1
55,L1_SingleJet44,0,1,1,1,1,1,1,1
56,L1_SingleJet48,0,0,0,0,0,0,0,1
57,L1_SingleJet50,0,0,0,0,0,0,0,1
58,L1_SingleJet56,0,0,0,0,0,0,0,1
59,L1_SingleJet60,0,1,1,1,1,1,1,1
60,L1_SingleJet80,0,0,0,0,0,0,0,1
61,L1_SingleJet90,0,1,1,1,1,1,1,1
62,L1_SingleJet120,0,0,0,0,0,0,0,1
63,L1_SingleJet140,0,0,0,0,0,0,0,1
64,L1_SingleJet150,0,0,0,0,0,0,0,1
65,L1_SingleJet160,0,0,0,0,0,0,0,1
66,L1_SingleJet170,0,0,0,0,0,0,0,1
67,L1_SingleJet180,0,0,0,0,0,0,0,1
68,L1_SingleJet200,0,0,0,0,0,0,0,1
69,L1_SingleJet140er2p5,0,0,0,0,0,0,0,1
70,L1_SingleJet160er2p5,0,0,0,0,0,0,0,1
71,L1_SingleJet8erHE,0,0,0,0,0,0,0,1
72,L1_SingleJet10erHE,0,0,0,0,0,0,0,1
73,L1_SingleJet12erHE,0,0,0,0,0,0,0,1
74,L1_SingleJet35_FWD2p5,0,1,1,1,1,1,1,1
75,L1_SingleJet60_FWD2p5,0,1,1,1,1,1,1,1
76,L1_SingleJet90_FWD2p5,0,1,1,1,1,1,1,1
77,L1_SingleJet120_FWD2p5,0,1,1,1,1,1,1,1
78,L1_DoubleJet40er2p5,0,0,0,0,0,0,0,1
79,L1_DoubleJet40er2p7,0,0,0,0,0,0,0,1
80,L1_DoubleJet50er2p7,0,0,0,0,0,0,0,1
81,L1_DoubleJet60er2p7,0,0,0,0,0,0,0,1
82,L1_DoubleJet80er2p7,0,0,0,0,0,0,0,1
83,L1_DoubleJet100er2p5,0,0,0,0,0,0,0,1
84,L1_DoubleJet100er2p7,0,0,0,0,0,0,0,1
85,L1_DoubleJet112er2p7,0,0,0,0,0,0,0,1
86,L1_DoubleJet120er2p5,0,0,0,0,0,0,0,1
87,L1_DoubleJet120er2p7,0,0,0,0,0,0,0,1
88,L1_DoubleJet150er2p7,0,0,0,0,0,0,0,1
89,L1_QuadJet60er2p5,0,0,0,0,0,0,0,1
90,L1_ZDCP8,0,0,0,0,0,0,0,1
91,L1_ZDCM8,0,0,0,0,0,0,0,1
92,L1_SingleIsoEG18,0,0,0,0,0,0,0,1
93,L1_SingleIsoEG20,0,0,0,0,0,0,0,1
94,L1_SingleIsoEG22,0,0,0,0,0,0,0,1
95,L1_SingleIsoEG24,0,0,0,0,0,0,0,1
96,L1_SingleIsoEG26,0,0,0,0,0,0,0,1
97,L1_SingleIsoEG28,0,0,0,0,0,0,0,1
98,L1_SingleIsoEG30,0,0,0,0,0,0,0,1
99,L1_SingleIsoEG32,0,0,0,0,0,0,0,1
100,L1_SingleIsoEG34,0,0,0,0,0,0,0,1
101,L1_SingleIsoEG35,0,0,0,0,0,0,0,1
102,L1_SingleIsoEG36,0,0,0,0,0,0,0,1
103,L1_SingleIsoEG37,0,0,0,0,0,0,0,1
104,L1_SingleIsoEG38,0,0,0,0,0,0,0,1
105,L1_SingleIsoEG40,0,0,0,0,0,0,0,1
106,L1_SingleIsoEG24er2p1,0,0,0,0,0,0,0,1
107,L1_SingleIsoEG26er2p1,0,0,0,0,0,0,0,1
108,L1_SingleIsoEG26er2p5,0,0,0,0,0,0,0,1
109,L1_SingleIsoEG28er2p1,0,0,0,0,0,0,0,1
110,L1_SingleIsoEG28er2p5,0,0,0,0,0,0,0,1
111,L1_SingleIsoEG30er2p1,0,0,0,0,0,0,0,1
112,L1_SingleIsoEG30er2p5,0,0,0,0,0,0,0,1
113,L1_SingleIsoEG32er2p1,0,0,0,0,0,0,0,1
114,L1_SingleIsoEG32er2p5,0,0,0,0,0,0,0,1
115,L1_SingleIsoEG34er2p5,0,0,0,0,0,0,0,1
116,L1_SingleEG2_BptxAND,0,0,0,0,0,0,0,1
117,L1_SingleEG5,0,0,0,0,0,0,0,1
118,L1_SingleEG10,0,1,1,1,1,1,1,1
119,L1_SingleEG15,0,1,1,1,1,1,1,1
120,L1_SingleEG18,0,0,0,0,0,0,0,1
121,L1_SingleEG21,0,1,1,1,1,1,1,1
122,L1_SingleEG24,0,0,0,0,0,0,0,1
123,L1_SingleEG26,0,0,0,0,0,0,0,1
124,L1_SingleEG28,0,0,0,0,0,0,0,1
125,L1_SingleEG30,0,1,1,1,1,1,1,1
126,L1_SingleEG32,0,0,0,0,0,0,0,1
127,L1_SingleEG34,0,0,0,0,0,0,0,1
128,L1_SingleEG36,0,0,0,0,0,0,0,1
129,L1_SingleEG38,0,0,0,0,0,0,0,1
130,L1_SingleEG40,0,0,0,0,0,0,0,1
131,L1_SingleEG42,0,0,0,0,0,0,0,1
132,L1_SingleEG45,0,0,0,0,0,0,0,1
133,L1_SingleEG50,0,0,0,0,0,0,0,1
134,L1_SingleEG60,0,0,0,0,0,0,0,1
135,L1_SingleEG8er2p5,0,0,0,0,0,0,0,1
136,L1_SingleEG10er2p5,0,0,0,0,0,0,0,1
137,L1_SingleEG15er2p5,0,0,0,0,0,0,0,1
138,L1_SingleEG26er2p5,0,0,0,0,0,0,0,1
139,L1_SingleEG34er2p5,0,0,0,0,0,0,0,1
140,L1_SingleEG36er2p5,0,0,0,0,0,0,0,1
141,L1_SingleEG38er2p5,0,0,0,0,0,0,0,1
142,L1_SingleEG40er2p5,0,0,0,0,0,0,0,1
143,L1_SingleEG42er2p5,0,0,0,0,0,0,0,1
144,L1_SingleEG45er2p5,0,0,0,0,0,0,0,1
145,L1_DoubleEG_10_5,0,0,0,0,0,0,0,1
146,L1_DoubleEG_10_10,0,0,0,0,0,0,0,1
147,L1_DoubleEG_15_5,0,0,0,0,0,0,0,1
148,L1_DoubleEG_15_10,0,1,1,1,1,1,1,1
149,L1_DoubleEG_18_17,0,0,0,0,0,0,0,1
150,L1_DoubleEG_20_18,0,0,0,0,0,0,0,1
151,L1_DoubleEG_22_10,0,0,0,0,0,0,0,1
152,L1_DoubleEG_22_12,0,0,0,0,0,0,0,1
153,L1_DoubleEG_22_15,0,0,0,0,0,0,0,1
154,L1_DoubleEG_23_10,0,0,0,0,0,0,0,1
155,L1_DoubleEG_24_17,0,0,0,0,0,0,0,1
156,L1_DoubleEG_25_12,0,0,0,0,0,0,0,1
157,L1_DoubleEG_25_13,0,0,0,0,0,0,0,1
158,L1_DoubleEG_25_14,0,0,0,0,0,0,0,1
159,L1_DoubleEG_22_10_er2p5,0,0,0,0,0,0,0,1
160,L1_DoubleEG_25_12_er2p5,0,0,0,0,0,0,0,1
161,L1_DoubleEG_25_14_er2p5,0,0,0,0,0,0,0,1
162,L1_TripleEG_18_17_8_er2p5,0,0,0,0,0,0,0,1
163,L1_ZDCP10,0,0,0,0,0,0,0,1
164,L1_ZDCM10,0,0,0,0,0,0,0,1
165,L1_SingleMuShower_Tight,0,1,0,1,1,1,0,1
166,L1_SingleMuShower_Nominal,0,1,0,1,1,1,0,1
167,L1_SingleMuCosmics,0,0,0,0,0,0,0,1
168,L1_SingleMuCosmics_BMTF,0,0,0,0,0,0,0,1
169,L1_SingleMuCosmics_OMTF,0,0,0,0,0,0,0,1
170,L1_SingleMuCosmics_EMTF,0,0,0,0,0,0,0,1
171,L1_SingleMuOpen,0,0,0,0,0,0,0,1
172,L1_SingleMuOpen_NotBptxOR,0,0,0,0,0,0,0,1
173,L1_SingleMuOpen_er1p1_NotBptxOR_3BX,0,0,0,0,0,0,0,1
174,L1_SingleMuOpen_er1p4_NotBptxOR_3BX,0,0,0,0,0,0,0,1
175,L1_SingleMu0,0,0,0,0,0,0,0,1
176,L1_SingleMu3,0,1,1,1,1,1,1,1
177,L1_SingleMu5,0,1,1,1,1,1,1,1
178,L1_SingleMu7,0,1,1,1,1,1,1,1
179,L1_SingleMu10_LowQ,0,0,0,0,0,0,0,1
180,L1_SingleMu12,0,1,1,1,1,1,1,1
181,L1_SingleMu16,0,0,0,0,0,0,0,1
182,L1_SingleMu18,0,0,0,0,0,0,0,1
183,L1_SingleMu20,0,0,0,0,0,0,0,1
184,L1_SingleMu22,0,0,0,0,0,0,0,1
185,L1_SingleMu25,0,0,0,0,0,0,0,1
186,L1_SingleMu30,0,0,0,0,0,0,0,1
187,L1_DoubleMuOpen,0,1,1,1,1,1,1,1
188,L1_DoubleMuOpen_OS,0,0,0,0,0,0,0,1
189,L1_DoubleMuOpen_SS,0,0,0,0,0,0,0,1
190,L1_DoubleMu0,0,1,1,1,1,1,1,1
191,L1_DoubleMu0_SQ,0,0,0,0,0,0,0,1
192,L1_DoubleMu0_SQ_OS,0,0,0,0,0,0,0,1
193,L1_DoubleMu10,0,0,0,0,0,0,0,1
194,L1_DoubleMu_12_5,0,0,0,0,0,0,0,1
195,L1_DoubleMu_15_7,0,0,0,0,0,0,0,1
196,L1_TripleMu_5_3_3,0,0,0,0,0,0,0,1
197,L1_TripleMu_5_5_3,0,0,0,0,0,0,0,1
198,L1_CDC_SingleMu_3_er1p2_TOP120_DPHI2p618_3p142,0,0,0,0,0,0,0,1
199,L1_DoubleMu2_SQ,0,0,0,0,0,0,0,1
200,L1_DoubleMu2,0,0,0,0,0,0,0,1
201,L1_SingleEG15er2p1_Jet12er2p7_dR_Min0p3,0,0,0,0,0,0,0,1
202,L1_SingleEG18er2p1_Jet16er2p7_dR_Min0p3,0,0,0,0,0,0,0,1
203,L1_LooseIsoEG15er2p1_Jet12er2p7_dR_Min0p3,0,0,0,0,0,0,0,1
204,L1_LooseIsoEG18er2p1_Jet16er2p7_dR_Min0p3,0,0,0,0,0,0,0,1
205,L1_SingleMuOpen_SingleJet40er2p7,0,0,0,0,0,0,0,1
206,L1_SingleMuOpen_SingleJet32er2p7,0,0,0,0,0,0,0,1
207,L1_SingleMuOpen_SingleJet28er2p7,0,0,0,0,0,0,0,1
208,L1_SingleMuOpen_SingleJet44er2p7,0,0,0,0,0,0,0,1
209,L1_SingleMuOpen_SingleJet56er2p7,0,0,0,0,0,0,0,1
210,L1_SingleMuOpen_SingleJet64er2p7,0,0,0,0,0,0,0,1
211,L1_SingleMu3_SingleJet28er2p7,0,0,0,0,0,0,0,1
212,L1_SingleMu3_SingleJet32er2p7,0,0,0,0,0,0,0,1
213,L1_SingleMu3_SingleJet40er2p7,0,0,0,0,0,0,0,1
214,L1_SingleMuOpen_SingleEG15,0,0,0,0,0,0,0,1
215,L1_SingleMu3_SingleEG12,0,0,0,0,0,0,0,1
216,L1_SingleMu3_SingleEG20,0,0,0,0,0,0,0,1
217,L1_SingleMu3_SingleEG30,0,0,0,0,0,0,0,1
218,L1_SingleMu5_SingleEG10,0,0,0,0,0,0,0,1
219,L1_SingleMu5_SingleEG12,0,0,0,0,0,0,0,1
220,L1_SingleMu5_SingleEG15,0,0,0,0,0,0,0,1
221,L1_SingleMu5_SingleEG20,0,0,0,0,0,0,0,1
222,L1_SingleMu7_SingleEG7,0,0,0,0,0,0,0,1
223,L1_SingleMu7_SingleEG10,0,0,0,0,0,0,0,1
224,L1_SingleMu7_SingleEG12,0,0,0,0,0,0,0,1
225,L1_SingleMu7_SingleEG15,0,0,0,0,0,0,0,1
226,L1_SingleMu12_SingleEG7,0,0,0,0,0,0,0,1
227,L1_ZDCM12,0,0,0,0,0,0,0,1
228,L1_ZDCP12,0,0,0,0,0,0,0,1
229,L1_ZDC1n_OR,0,0,0,0,0,0,0,1
230,L1_ZDC1n_Bkp1_OR,0,0,0,0,0,0,0,1
231,L1_ZDC1n_Bkp2_OR,0,0,0,0,0,0,0,1
232,L1_ZDC1n_AsymXOR,0,0,0,0,0,0,0,1
233,L1_ZDC1n_Bkp1_AsymXOR,0,0,0,0,0,0,0,1
234,L1_ZDC1n_Bkp2_AsymXOR,0,0,0,0,0,0,0,1
235,L1_SingleJet8_ZDC1n_AsymXOR,0,0,0,0,0,0,0,1
236,L1_SingleJet8_ZDC1n_Bkp1_AsymXOR,0,0,0,0,0,0,0,1
237,L1_SingleJet8_ZDC1n_Bkp2_AsymXOR,0,0,0,0,0,0,0,1
238,L1_SingleJet12_ZDC1n_AsymXOR,0,0,0,0,0,0,0,1
239,L1_SingleJet12_ZDC1n_Bkp1_AsymXOR,0,0,0,0,0,0,0,1
240,L1_SingleJet12_ZDC1n_Bkp2_AsymXOR,0,0,0,0,0,0,0,1
241,L1_SingleJet16_ZDC1n_AsymXOR,0,0,0,0,0,0,0,1
242,L1_SingleJet16_ZDC1n_Bkp1_AsymXOR,0,0,0,0,0,0,0,1
243,L1_SingleJet16_ZDC1n_Bkp2_AsymXOR,0,0,0,0,0,0,0,1
244,L1_SingleJet20_ZDC1n_AsymXOR,0,0,0,0,0,0,0,1
245,L1_SingleJet20_ZDC1n_Bkp1_AsymXOR,0,0,0,0,0,0,0,1
246,L1_SingleJet20_ZDC1n_Bkp2_AsymXOR,0,0,0,0,0,0,0,1
247,L1_SingleJet24_ZDC1n_AsymXOR,0,0,0,0,0,0,0,1
248,L1_SingleJet24_ZDC1n_Bkp1_AsymXOR,0,0,0,0,0,0,0,1
249,L1_SingleJet24_ZDC1n_Bkp2_AsymXOR,0,0,0,0,0,0,0,1
250,L1_SingleJet28_ZDC1n_AsymXOR,0,0,0,0,0,0,0,1
251,L1_SingleJet28_ZDC1n_Bkp1_AsymXOR,0,0,0,0,0,0,0,1
252,L1_SingleJet28_ZDC1n_Bkp2_AsymXOR,0,0,0,0,0,0,0,1
253,L1_SingleJet8_ZDC1n_OR,0,0,0,0,0,0,0,1
254,L1_SingleJet8_ZDC1n_Bkp1_OR,0,0,0,0,0,0,0,1
255,L1_SingleJet8_ZDC1n_Bkp2_OR,0,0,0,0,0,0,0,1
256,L1_SingleJet12_ZDC1n_OR,0,0,0,0,0,0,0,1
257,L1_SingleJet12_ZDC1n_Bkp1_OR,0,0,0,0,0,0,0,1
258,L1_SingleJet12_ZDC1n_Bkp2_OR,0,0,0,0,0,0,0,1
259,L1_SingleJet16_ZDC1n_OR,0,0,0,0,0,0,0,1
260,L1_SingleJet16_ZDC1n_Bkp1_OR,0,0,0,0,0,0,0,1
261,L1_SingleJet16_ZDC1n_Bkp2_OR,0,0,0,0,0,0,0,1
262,L1_SingleJet20_ZDC1n_OR,0,0,0,0,0,0,0,1
263,L1_SingleJet20_ZDC1n_Bkp1_OR,0,0,0,0,0,0,0,1
264,L1_SingleJet20_ZDC1n_Bkp2_OR,0,0,0,0,0,0,0,1
265,L1_SingleJet24_ZDC1n_OR,0,0,0,0,0,0,0,1
266,L1_SingleJet24_ZDC1n_Bkp1_OR,0,0,0,0,0,0,0,1
267,L1_SingleJet24_ZDC1n_Bkp2_OR,0,0,0,0,0,0,0,1
268,L1_SingleJet28_ZDC1n_OR,0,0,0,0,0,0,0,1
269,L1_SingleJet28_ZDC1n_Bkp1_OR,0,0,0,0,0,0,0,1
270,L1_SingleJet28_ZDC1n_Bkp2_OR,0,0,0,0,0,0,0,1
271,L1_ZDCP14,0,0,0,0,0,0,0,1
272,L1_ZDCM14,0,0,0,0,0,0,0,1
273,L1_ZDC14_AND,0,0,0,0,0,0,0,1
274,L1_ZDC14_OR,0,0,0,0,0,0,0,1
275,L1_ZDCP16,0,0,0,0,0,0,0,1
276,L1_ZDCM16,0,0,0,0,0,0,0,1
277,L1_ZDC16_AND,0,0,0,0,0,0,0,1
278,L1_ZDC16_OR,0,0,0,0,0,0,0,1
279,L1_ZDCP18,0,0,0,0,0,0,0,1
280,L1_ZDCM18,0,0,0,0,0,0,0,1
281,L1_ZDC18_AND,0,0,0,0,0,0,0,1
282,L1_ZDC18_OR,0,0,0,0,0,0,0,1
283,L1_ZDCP22,0,0,0,0,0,0,0,1
284,L1_ZDCM22,0,0,0,0,0,0,0,1
285,L1_ZDC22_AND,0,0,0,0,0,0,0,1
286,L1_ZDC22_OR,0,0,0,0,0,0,0,1
287,L1_ZDCP28,0,0,0,0,0,0,0,1
288,L1_ZDCM28,0,0,0,0,0,0,0,1
289,L1_ZDC28_AND,0,0,0,0,0,0,0,1
290,L1_ZDC28_OR,0,0,0,0,0,0,0,1
291,L1_SingleJet28_ZDC1n_Bkp3_OR,0,0,0,0,0,0,0,1
292,L1_SingleJet24_ZDC1n_Bkp3_OR,0,0,0,0,0,0,0,1
293,L1_SingleJet20_ZDC1n_Bkp3_OR,0,0,0,0,0,0,0,1
294,L1_SingleJet12_ZDC1n_Bkp3_OR,0,0,0,0,0,0,0,1
295,L1_SingleJet16_ZDC1n_Bkp3_OR,0,0,0,0,0,0,0,1
297,L1_SingleJet8_ZDC1n_Bkp3_OR,0,0,0,0,0,0,0,1
298,L1_ZDC1n_Bkp3_OR,0,0,0,0,0,0,0,1
300,L1_SingleJet28_ZDC1n_Bkp3_AsymXOR,0,0,0,0,0,0,0,1
301,L1_SingleJet24_ZDC1n_Bkp3_AsymXOR,0,0,0,0,0,0,0,1
302,L1_SingleJet20_ZDC1n_Bkp3_AsymXOR,0,0,0,0,0,0,0,1
303,L1_SingleJet16_ZDC1n_Bkp3_AsymXOR,0,0,0,0,0,0,0,1
304,L1_SingleJet12_ZDC1n_Bkp3_AsymXOR,0,0,0,0,0,0,0,1
305,L1_SingleJet8_ZDC1n_Bkp3_AsymXOR,0,0,0,0,0,0,0,1
306,L1_ZDC1n_Bkp3_AsymXOR,0,0,0,0,0,0,0,1
307,L1_SingleUncorrJet2,0,0,0,0,0,0,0,1
308,L1_SingleUncorrJet4,0,0,0,0,0,0,0,1
309,L1_SingleUncorrJet6,0,0,0,0,0,0,0,1
310,L1_SingleUncorrJet8,0,0,0,0,0,0,0,1
311,L1_SingleUncorrJet12,0,0,0,0,0,0,0,1
312,L1_SingleUncorrJet16,0,0,0,0,0,0,0,1
313,L1_SingleUncorrJet20,0,0,0,0,0,0,0,1
314,L1_SingleUncorrJet24,0,0,0,0,0,0,0,1
315,L1_SingleUncorrJet28,0,0,0,0,0,0,0,1
316,L1_DoubleUncorrJet2_dPhi2p0,0,0,0,0,0,0,0,1
317,L1_DoubleUncorrJet4_dPhi2p0,0,0,0,0,0,0,0,1
318,L1_DoubleUncorrJet6_dPhi2p0,0,0,0,0,0,0,0,1
319,L1_DoubleUncorrJet8_dPhi2p0,0,0,0,0,0,0,0,1
320,L1_DoubleUncorrJet12_dPhi2p0,0,0,0,0,0,0,0,1
321,L1_DoubleUncorrJet16_dPhi2p0,0,0,0,0,0,0,0,1
322,L1_SingleUncorrJet2_ZDC1nOR,0,0,0,0,0,0,0,1
323,L1_SingleUncorrJet4_ZDC1nOR,0,0,0,0,0,0,0,1
324,L1_SingleUncorrJet6_ZDC1nOR,0,0,0,0,0,0,0,1
325,L1_SingleUncorrJet8_ZDC1nOR,0,0,0,0,0,0,0,1
326,L1_SingleUncorrJet12_ZDC1nOR,0,0,0,0,0,0,0,1
327,L1_SingleUncorrJet16_ZDC1nOR,0,0,0,0,0,0,0,1
328,L1_SingleUncorrJet20_ZDC1nOR,0,0,0,0,0,0,0,1
329,L1_SingleUncorrJet24_ZDC1nOR,0,0,0,0,0,0,0,1
330,L1_SingleUncorrJet28_ZDC1nOR,0,0,0,0,0,0,0,1
331,L1_SingleUncorrJet2_ZDC1nOR_Bkp1,0,0,0,0,0,0,0,1
332,L1_SingleUncorrJet4_ZDC1nOR_Bkp1,0,0,0,0,0,0,0,1
333,L1_SingleUncorrJet6_ZDC1nOR_Bkp1,0,0,0,0,0,0,0,1
334,L1_SingleUncorrJet8_ZDC1nOR_Bkp1,0,0,0,0,0,0,0,1
335,L1_SingleUncorrJet12_ZDC1nOR_Bkp1,0,0,0,0,0,0,0,1
336,L1_SingleUncorrJet16_ZDC1nOR_Bkp1,0,0,0,0,0,0,0,1
337,L1_SingleUncorrJet20_ZDC1nOR_Bkp1,0,0,0,0,0,0,0,1
338,L1_SingleUncorrJet24_ZDC1nOR_Bkp1,0,0,0,0,0,0,0,1
339,L1_SingleUncorrJet28_ZDC1nOR_Bkp1,0,0,0,0,0,0,0,1
340,L1_SingleUncorrJet2_ZDC1nOR_Bkp2,0,0,0,0,0,0,0,1
341,L1_SingleUncorrJet4_ZDC1nOR_Bkp2,0,0,0,0,0,0,0,1
342,L1_SingleUncorrJet6_ZDC1nOR_Bkp2,0,0,0,0,0,0,0,1
343,L1_SingleUncorrJet8_ZDC1nOR_Bkp2,0,0,0,0,0,0,0,1
344,L1_SingleUncorrJet12_ZDC1nOR_Bkp2,0,0,0,0,0,0,0,1
345,L1_SingleUncorrJet16_ZDC1nOR_Bkp2,0,0,0,0,0,0,0,1
346,L1_SingleUncorrJet20_ZDC1nOR_Bkp2,0,0,0,0,0,0,0,1
347,L1_SingleUncorrJet24_ZDC1nOR_Bkp2,0,0,0,0,0,0,0,1
348,L1_SingleUncorrJet28_ZDC1nOR_Bkp2,0,0,0,0,0,0,0,1
349,L1_SingleUncorrJet2_ZDC1n_AsymXOR,0,0,0,0,0,0,0,1
350,L1_SingleUncorrJet4_ZDC1n_AsymXOR,0,0,0,0,0,0,0,1
351,L1_SingleUncorrJet6_ZDC1n_AsymXOR,0,0,0,0,0,0,0,1
352,L1_SingleUncorrJet8_ZDC1n_AsymXOR,0,0,0,0,0,0,0,1
353,L1_SingleUncorrJet12_ZDC1n_AsymXOR,0,0,0,0,0,0,0,1
354,L1_SingleUncorrJet16_ZDC1n_AsymXOR,0,0,0,0,0,0,0,1
355,L1_SingleUncorrJet28_ZDC1n_AsymXOR,0,0,0,0,0,0,0,1
356,L1_SingleUncorrJet20_ZDC1n_AsymXOR,0,0,0,0,0,0,0,1
357,L1_SingleUncorrJet24_ZDC1n_AsymXOR,0,0,0,0,0,0,0,1
