Index,Name,Unprescaled,335b_AllMB,335b_AllMB_UPC40k
263,L1_Centrality_40_50_BptxAND ,1,0,0
264,L1_Centrality_30_50_BptxAND ,1,1,1
265,L1_Centrality_50_65_BptxAND ,1,0,0
266,L1_Centrality_65_80_BptxAND ,1,0,0
267,L1_Centrality_80_100_BptxAND ,1,0,0
268,L1_Centrality_30_100_MinimumBiasHF1_AND_BptxAND ,1,0,0
269,L1_Centrality_50_100_MinimumBiasHF1_AND_BptxAND ,1,71,71
270,L1_MinimumBiasHF1_AND_BptxAND ,1,1,1
271,L1_MinimumBiasHF1_OR_BptxAND ,1,0,0
272,L1_ZDC1n_OR_MinimumBiasHF1_AND_BptxAND ,1,1,1
273,L1_ZDC1n_Bkp1_OR_MinimumBiasHF1_AND_BptxAND ,1,0,0
274,L1_ZDC1n_Bkp2_OR_MinimumBiasHF1_AND_BptxAND ,1,0,0
275,L1_ZDC1n_Bkp3_OR_MinimumBiasHF1_AND_BptxAND ,1,0,0
276,L1_ZDC2n_OR_MinimumBiasHF1_AND_BptxAND ,1,0,0
277,L1_ZDC2n_Bkp1_OR_MinimumBiasHF1_AND_BptxAND ,1,0,0
278,L1_ZDC2n_Bkp2_OR_MinimumBiasHF1_AND_BptxAND ,1,0,0
279,L1_ZDC2n_Bkp3_OR_MinimumBiasHF1_AND_BptxAND ,1,0,0
280,L1_ZDC3n_OR_MinimumBiasHF1_AND_BptxAND ,1,0,0
281,L1_ZDC3n_Bkp1_OR_MinimumBiasHF1_AND_BptxAND ,1,0,0
282,L1_ZDC3n_Bkp2_OR_MinimumBiasHF1_AND_BptxAND ,1,0,0
283,L1_ZDC3n_Bkp3_OR_MinimumBiasHF1_AND_BptxAND ,1,0,0
284,L1_ZDC1n_AND_MinimumBiasHF1_AND_BptxAND ,1,0,0
285,L1_ZDC1n_Bkp1_AND_MinimumBiasHF1_AND_BptxAND ,1,0,0
286,L1_ZDC1n_Bkp2_AND_MinimumBiasHF1_AND_BptxAND ,1,0,0
287,L1_ZDC1n_Bkp3_AND_MinimumBiasHF1_AND_BptxAND ,1,0,0
288,L1_MinimumBiasHF2_AND_BptxAND ,1,0,0
289,L1_MinimumBiasHF2_OR_BptxAND ,1,0,0
290,L1_ZDC1n_OR_MinimumBiasHF2_AND_BptxAND ,1,0,0
291,L1_ZDC1n_Bkp1_OR_MinimumBiasHF2_AND_BptxAND ,1,0,0
292,L1_ZDC1n_Bkp2_OR_MinimumBiasHF2_AND_BptxAND ,1,0,0
293,L1_ZDC1n_Bkp3_OR_MinimumBiasHF2_AND_BptxAND ,1,0,0
294,L1_ZDC2n_OR_MinimumBiasHF2_AND_BptxAND ,1,0,0
295,L1_ZDC2n_Bkp1_OR_MinimumBiasHF2_AND_BptxAND ,1,0,0
296,L1_ZDC2n_Bkp2_OR_MinimumBiasHF2_AND_BptxAND ,1,0,0
297,L1_ZDC2n_Bkp3_OR_MinimumBiasHF2_AND_BptxAND ,1,0,0
298,L1_ZDC3n_OR_MinimumBiasHF2_AND_BptxAND ,1,0,0
299,L1_ZDC3n_Bkp1_OR_MinimumBiasHF2_AND_BptxAND ,1,0,0
300,L1_ZDC3n_Bkp2_OR_MinimumBiasHF2_AND_BptxAND ,1,0,0
301,L1_ZDC3n_Bkp3_OR_MinimumBiasHF2_AND_BptxAND ,1,0,0
302,L1_ZDC1n_AND_MinimumBiasHF2_AND_BptxAND ,1,0,0
303,L1_ZDC1n_Bkp1_AND_MinimumBiasHF2_AND_BptxAND ,1,0,0
304,L1_ZDC1n_Bkp2_AND_MinimumBiasHF2_AND_BptxAND ,1,0,0
305,L1_ZDC1n_Bkp3_AND_MinimumBiasHF2_AND_BptxAND ,1,0,0
306,L1_SingleEG2_ZDC1n_OR_NotMinimumBiasHF2_AND_BptxAND ,1,0,0
307,L1_ZDC1n_OR_BptxAND ,1,199,0
308,L1_ZDC1n_Bkp1_OR_BptxAND ,1,0,0
309,L1_ZDC1n_XOR_MinimumBiasHF1_AND_BptxAND ,1,1,0
310,L1_ZDC1n_Bkp1_XOR_MinimumBiasHF1_AND_BptxAND ,1,0,0
311,L1_ZDC1n_Bkp2_XOR_MinimumBiasHF1_AND_BptxAND ,1,0,0
312,L1_ZDC1n_Bkp3_XOR_MinimumBiasHF1_AND_BptxAND ,1,0,0
