Index,Name,Emergency,HighZeroBias,HighZeroBias_NoMuShowers,HalfZeroBias,OnlyPhysics,HighRandom,HighRandom_NoMuShowers
205,L1_SingleMuOpen_SingleJet40er2p7,0,0,0,0,0,0,0
206,L1_SingleMuOpen_SingleJet32er2p7,0,0,0,0,0,0,0
207,L1_SingleMuOpen_SingleJet28er2p7,0,0,0,0,0,0,0
208,L1_SingleMuOpen_SingleJet44er2p7,0,0,0,0,0,0,0
209,L1_SingleMuOpen_SingleJet56er2p7,0,0,0,0,0,0,0
210,L1_SingleMuOpen_SingleJet64er2p7,0,0,0,0,0,0,0
211,L1_SingleMu3_SingleJet28er2p7,0,0,0,0,0,0,0
212,L1_SingleMu3_SingleJet32er2p7,0,0,0,0,0,0,0
213,L1_SingleMu3_SingleJet40er2p7,0,0,0,0,0,0,0
214,L1_SingleMuOpen_SingleEG15,0,0,0,0,0,0,0
215,L1_SingleMu3_SingleEG12,0,0,0,0,0,0,0
216,L1_SingleMu3_SingleEG20,0,0,0,0,0,0,0
217,L1_SingleMu3_SingleEG30,0,0,0,0,0,0,0
218,L1_SingleMu5_SingleEG10,0,0,0,0,0,0,0
219,L1_SingleMu5_SingleEG12,0,0,0,0,0,0,0
220,L1_SingleMu5_SingleEG15,0,0,0,0,0,0,0
221,L1_SingleMu5_SingleEG20,0,0,0,0,0,0,0
222,L1_SingleMu7_SingleEG7,0,0,0,0,0,0,0
223,L1_SingleMu7_SingleEG10,0,0,0,0,0,0,0
224,L1_SingleMu7_SingleEG12,0,0,0,0,0,0,0
225,L1_SingleMu7_SingleEG15,0,0,0,0,0,0,0
226,L1_SingleMu12_SingleEG7,0,0,0,0,0,0,0
227,L1_ZDCM12,0,0,0,0,0,0,0
228,L1_ZDCP12,0,0,0,0,0,0,0
229,L1_ZDC1n_OR,0,0,0,0,0,0,0
230,L1_ZDC1n_Bkp1_OR,0,0,0,0,0,0,0
231,L1_ZDC1n_Bkp2_OR,0,0,0,0,0,0,0
232,L1_ZDC1n_AsymXOR,0,0,0,0,0,0,0
233,L1_ZDC1n_Bkp1_AsymXOR,0,0,0,0,0,0,0
