Index,Name,Emergency,SuperSafe,HighRandoms,OnlyRandoms,TrackerTest,AllMB,AllMB_ExtraUPC2kHz,AllMB_ExtraUPC2kHz_ZB5kHz,AllMB_ExtraUPC3kHz,AllMB_ExtraUPC3kHz_ZB5kHz,AllMB_ExtraUPC4kHz,AllMB_ExtraUPC4kHz_ZB5kHz,AllMB_ExtraUPC5kHz,AllMB_ExtraUPC5kHz_ZB5kHz,AllMB_ExtraUPC6kHz,AllMB_ExtraUPC7kHz,AllMB_ExtraUPC8kHz,AllMB_ExtraUPC9kHz,AllMB_ExtraUPC10kHz,AllMB_ExtraUPC12kHz,AllMB_ExtraUPC14kHz,AllMB_ExtraUPC16kHz,AllMB_ExtraUPC18kHz,AllMB_ExtraUPC20kHz,AllMB_ExtraUPC22kHz,AllMB_ExtraUPC24kHz,AllMB_ExtraUPC26kHz,AllMB_ExtraUPC28kHz,AllMB_ExtraUPC30kHz,AllMB_ExtraUPC32kHz,AllMB_ExtraUPC34kHz,AllMB_ExtraUPC38kHz,AllMB_ExtraUPC42kHz,AllMB_ExtraUPC46kHz,AllMB_ExtraUPC50kHz,AllMB_ExtraUPC54kHz,AllMB_ExtraUPC58kHz,AllMB_ExtraUPC62kHz,AllMB_ExtraUPC66kHz,AllMB_ExtraUPC70kHz,AllMB_ExtraUPC74kHz,AllMB_ExtraUPC78kHz
34,L1_FirstCollisionInOrbit_Centrality50_100_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,L1_ETMHF100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,L1_ETT2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,L1_HTT120er,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,L1_HTT160er,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,L1_HTT200er,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,L1_HTT255er,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,L1_HTT280er,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,L1_HTT320er,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,L1_HTT360er,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
